earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-08-29,Jun,-13,2,2016-08-16,2016-08-31,6.32,6.53,0.20999999999999996
2016-06-15,Mar,-13,2,2016-06-02,2016-06-17,5.59,5.27,-0.3200000000000003
2016-03-24,Dec,-13,2,2016-03-11,2016-03-24,7.39,7.14,-0.25
2015-11-23,Sep,-13,2,2015-11-10,2015-11-25,6.99,6.81,-0.1800000000000006
2015-08-17,Jun,-13,2,2015-08-04,2015-08-19,7.22,7.14,-0.08000000000000007
2015-05-20,Mar,-13,2,2015-05-07,2015-05-22,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,2,2015-02-26,2015-03-13,5.06,5.13,0.07000000000000028
2014-11-24,Sep,-13,2,2014-11-11,2014-11-26,6.44,6.54,0.09999999999999964
2014-08-27,Jun,-13,2,2014-08-14,2014-08-29,8.45,7.97,-0.47999999999999954
2016-08-29,Jun,-13,3,2016-08-16,2016-09-01,6.32,6.55,0.22999999999999954
2016-06-15,Mar,-13,3,2016-06-02,2016-06-17,5.59,5.27,-0.3200000000000003
2016-03-24,Dec,-13,3,2016-03-11,2016-03-24,7.39,7.14,-0.25
2015-11-23,Sep,-13,3,2015-11-10,2015-11-25,6.99,6.81,-0.1800000000000006
2015-08-17,Jun,-13,3,2015-08-04,2015-08-20,7.22,6.98,-0.23999999999999932
2015-05-20,Mar,-13,3,2015-05-07,2015-05-22,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,3,2015-02-26,2015-03-13,5.06,5.13,0.07000000000000028
2014-11-24,Sep,-13,3,2014-11-11,2014-11-26,6.44,6.54,0.09999999999999964
2014-08-27,Jun,-13,3,2014-08-14,2014-08-29,8.45,7.97,-0.47999999999999954
2016-08-29,Jun,-13,4,2016-08-16,2016-09-02,6.32,6.52,0.1999999999999993
2016-06-15,Mar,-13,4,2016-06-02,2016-06-17,5.59,5.27,-0.3200000000000003
2016-03-24,Dec,-13,4,2016-03-11,2016-03-28,7.39,7.18,-0.20999999999999996
2015-11-23,Sep,-13,4,2015-11-10,2015-11-27,6.99,6.78,-0.20999999999999996
2015-08-17,Jun,-13,4,2015-08-04,2015-08-21,7.22,6.98,-0.23999999999999932
2015-05-20,Mar,-13,4,2015-05-07,2015-05-22,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,4,2015-02-26,2015-03-13,5.06,5.13,0.07000000000000028
2014-11-24,Sep,-13,4,2014-11-11,2014-11-28,6.44,6.47,0.02999999999999936
2014-08-27,Jun,-13,4,2014-08-14,2014-08-29,8.45,7.97,-0.47999999999999954
2016-08-29,Jun,-13,5,2016-08-16,2016-09-02,6.32,6.52,0.1999999999999993
2016-06-15,Mar,-13,5,2016-06-02,2016-06-20,5.59,5.25,-0.33999999999999986
2016-03-24,Dec,-13,5,2016-03-11,2016-03-29,7.39,7.19,-0.1999999999999993
2015-11-23,Sep,-13,5,2015-11-10,2015-11-27,6.99,6.78,-0.20999999999999996
2015-08-17,Jun,-13,5,2015-08-04,2015-08-21,7.22,6.98,-0.23999999999999932
2015-05-20,Mar,-13,5,2015-05-07,2015-05-22,6.26,6.66,0.40000000000000036
2015-03-11,Dec,-13,5,2015-02-26,2015-03-16,5.06,5.14,0.08000000000000007
2014-11-24,Sep,-13,5,2014-11-11,2014-11-28,6.44,6.47,0.02999999999999936
2014-08-27,Jun,-13,5,2014-08-14,2014-08-29,8.45,7.97,-0.47999999999999954
2016-08-29,Jun,-13,6,2016-08-16,2016-09-02,6.32,6.52,0.1999999999999993
2016-06-15,Mar,-13,6,2016-06-02,2016-06-21,5.59,5.25,-0.33999999999999986
2016-03-24,Dec,-13,6,2016-03-11,2016-03-30,7.39,7.2,-0.1899999999999995
2015-11-23,Sep,-13,6,2015-11-10,2015-11-27,6.99,6.78,-0.20999999999999996
2015-08-17,Jun,-13,6,2015-08-04,2015-08-21,7.22,6.98,-0.23999999999999932
2015-05-20,Mar,-13,6,2015-05-07,2015-05-26,6.26,6.58,0.3200000000000003
2015-03-11,Dec,-13,6,2015-02-26,2015-03-17,5.06,5.19,0.13000000000000078
2014-11-24,Sep,-13,6,2014-11-11,2014-11-28,6.44,6.47,0.02999999999999936
2014-08-27,Jun,-13,6,2014-08-14,2014-09-02,8.45,7.45,-0.9999999999999991
2016-08-29,Jun,-13,7,2016-08-16,2016-09-02,6.32,6.52,0.1999999999999993
2016-06-15,Mar,-13,7,2016-06-02,2016-06-22,5.59,5.23,-0.35999999999999943
2016-03-24,Dec,-13,7,2016-03-11,2016-03-31,7.39,7.18,-0.20999999999999996
2015-11-23,Sep,-13,7,2015-11-10,2015-11-30,6.99,6.86,-0.1299999999999999
2015-08-17,Jun,-13,7,2015-08-04,2015-08-24,7.22,6.21,-1.0099999999999998
