earning_date,month,buy_days,sell_days,buy_date,sell_date,buy_price,sell_price,profit
2016-07-05,Mar,-14,4,2016-06-21,2016-07-08,0.63,0.64,0.010000000000000009
2016-02-16,Dec,-14,4,2016-02-02,2016-02-19,0.99,0.95,-0.040000000000000036
2015-10-01,Jun,-14,4,2015-09-17,2015-10-05,1.28,1.27,-0.010000000000000009
2015-07-01,Mar,-14,4,2015-06-17,2015-07-02,1.36,1.14,-0.2200000000000002
2015-04-03,Dec,-14,4,2015-03-20,2015-04-07,1.3,1.43,0.1299999999999999
2015-01-01,Sep,-14,4,2014-12-18,2015-01-05,1.03,1.05,0.020000000000000018
2014-08-21,Jun,-14,4,2014-08-07,2014-08-25,1.6,2.13,0.5299999999999998
2014-07-15,Mar,-14,4,2014-07-01,2014-07-18,1.79,1.58,-0.20999999999999996
2014-02-13,Dec,-14,4,2014-01-30,2014-02-14,2.15,2.16,0.010000000000000231
2013-11-18,Sep,-14,4,2013-11-04,2013-11-22,1.86,1.9,0.039999999999999813
2013-08-13,Jun,-14,4,2013-07-30,2013-08-16,1.74,1.67,-0.07000000000000006
2013-07-12,Mar,-14,4,2013-06-28,2013-07-16,1.67,1.77,0.10000000000000009
2013-02-15,Dec,-14,4,2013-02-01,2013-02-19,1.68,1.72,0.040000000000000036
2012-11-19,Sep,-14,4,2012-11-05,2012-11-23,1.66,1.69,0.030000000000000027
2012-08-15,Jun,-14,4,2012-08-01,2012-08-17,2.0,2.05,0.04999999999999982
2012-07-12,Mar,-14,4,2012-06-28,2012-07-16,2.0,2.02,0.020000000000000018
2012-02-15,Dec,-14,4,2012-02-01,2012-02-17,1.77,1.94,0.16999999999999993
2011-11-16,Sep,-14,4,2011-11-02,2011-11-18,1.67,1.61,-0.05999999999999983
2011-08-18,Jun,-14,4,2011-08-04,2011-08-22,1.69,1.66,-0.030000000000000027
2011-07-13,Mar,-14,4,2011-06-29,2011-07-15,2.1,1.87,-0.22999999999999998
2011-02-17,Dec,-14,4,2011-02-03,2011-02-18,2.08,2.36,0.2799999999999998
2010-11-16,Sep,-14,4,2010-11-02,2010-11-19,2.0,2.09,0.08999999999999986
2010-08-18,Jun,-14,4,2010-08-04,2010-08-20,2.48,2.5,0.020000000000000018
2010-07-13,Mar,-14,4,2010-06-29,2010-07-16,1.67,2.1,0.43000000000000016
2010-02-11,Dec,-14,4,2010-01-28,2010-02-12,2.42,2.4,-0.020000000000000018
2009-11-19,Sep,-14,4,2009-11-05,2009-11-23,1.39,1.95,0.56
2009-07-10,Mar,-14,4,2009-06-26,2009-07-14,0.62,0.54,-0.07999999999999996
2016-07-05,Mar,-14,5,2016-06-21,2016-07-08,0.63,0.64,0.010000000000000009
2016-02-16,Dec,-14,5,2016-02-02,2016-02-19,0.99,0.95,-0.040000000000000036
2015-10-01,Jun,-14,5,2015-09-17,2015-10-06,1.28,1.24,-0.040000000000000036
2015-07-01,Mar,-14,5,2015-06-17,2015-07-06,1.36,1.12,-0.24
2015-04-03,Dec,-14,5,2015-03-20,2015-04-08,1.3,1.38,0.07999999999999985
2015-01-01,Sep,-14,5,2014-12-18,2015-01-06,1.03,1.06,0.030000000000000027
2014-08-21,Jun,-14,5,2014-08-07,2014-08-26,1.6,2.23,0.6299999999999999
2014-07-15,Mar,-14,5,2014-07-01,2014-07-18,1.79,1.58,-0.20999999999999996
2014-02-13,Dec,-14,5,2014-01-30,2014-02-18,2.15,2.12,-0.029999999999999805
2013-11-18,Sep,-14,5,2013-11-04,2013-11-22,1.86,1.9,0.039999999999999813
2013-08-13,Jun,-14,5,2013-07-30,2013-08-16,1.74,1.67,-0.07000000000000006
2013-07-12,Mar,-14,5,2013-06-28,2013-07-17,1.67,1.61,-0.05999999999999983
2013-02-15,Dec,-14,5,2013-02-01,2013-02-20,1.68,1.72,0.040000000000000036
2012-11-19,Sep,-14,5,2012-11-05,2012-11-23,1.66,1.69,0.030000000000000027
2012-08-15,Jun,-14,5,2012-08-01,2012-08-20,2.0,2.03,0.029999999999999805
2012-07-12,Mar,-14,5,2012-06-28,2012-07-17,2.0,2.02,0.020000000000000018
2012-02-15,Dec,-14,5,2012-02-01,2012-02-17,1.77,1.94,0.16999999999999993
2011-11-16,Sep,-14,5,2011-11-02,2011-11-21,1.67,1.62,-0.04999999999999982
2011-08-18,Jun,-14,5,2011-08-04,2011-08-23,1.69,1.64,-0.050000000000000044
2011-07-13,Mar,-14,5,2011-06-29,2011-07-18,2.1,1.85,-0.25
2011-02-17,Dec,-14,5,2011-02-03,2011-02-22,2.08,2.41,0.33000000000000007
2010-11-16,Sep,-14,5,2010-11-02,2010-11-19,2.0,2.09,0.08999999999999986
